provincia,day,predicted_date,prediccion_temp_max,prediccion_temp_min
A Coruña,1,2025-02-25,9.268603155366888,7.299238558720191
A Coruña,2,2025-02-26,9.690015705306456,6.723551015710652
A Coruña,3,2025-02-27,9.094605134069942,7.075286573970987
A Coruña,4,2025-02-28,9.599657078309603,7.091825996248763
A Coruña,5,2025-03-01,11.509093962146524,6.981632386341488
A Coruña,6,2025-03-02,12.178502371047362,6.9406102739608055
A Coruña,7,2025-03-03,12.891598311956873,7.005422142553457
Albacete,1,2025-02-25,7.967654290836296,6.460649809945625
Albacete,2,2025-02-26,9.584851754130788,5.8705320642151415
Albacete,3,2025-02-27,8.69442803458593,6.555001488932146
Albacete,4,2025-02-28,8.08743600981501,5.904812001407361
Albacete,5,2025-03-01,11.06160747592319,6.15128219994595
Albacete,6,2025-03-02,12.573984341223282,6.326429098583837
Albacete,7,2025-03-03,12.979199175336126,6.447075840605935
Alicante,1,2025-02-25,13.17420245535017,10.906534725584347
Alicante,2,2025-02-26,14.776745753646166,10.323500746257274
Alicante,3,2025-02-27,16.442254484123502,9.375713646186668
Alicante,4,2025-02-28,16.59792987975612,9.378014247490109
Alicante,5,2025-03-01,16.079273734558324,9.072763772690829
Alicante,6,2025-03-02,16.299573557202944,8.752042049059197
Alicante,7,2025-03-03,15.32509338967569,8.913044372308109
Almería,1,2025-02-25,12.683833664207127,9.760105080893787
Almería,2,2025-02-26,13.124060331740766,9.40354847260283
Almería,3,2025-02-27,12.680047703511262,8.76048630147143
Almería,4,2025-02-28,13.306028088046496,9.333815390429109
Almería,5,2025-03-01,13.00315939811759,8.991727599764987
Almería,6,2025-03-02,13.579559418387232,9.307065417342335
Almería,7,2025-03-03,14.058605462911352,9.538514502733538
Asturias,1,2025-02-25,7.3378714925210655,4.670601835048022
Asturias,2,2025-02-26,8.563134775525098,4.971674020712239
Asturias,3,2025-02-27,7.99903574473356,4.588912664202273
Asturias,4,2025-02-28,7.737031012830953,4.535418506922404
Asturias,5,2025-03-01,10.796476643622992,4.216252816502267
Asturias,6,2025-03-02,12.269838728856016,4.294114372874476
Asturias,7,2025-03-03,12.98993527137305,4.13154787442571
Badajoz,1,2025-02-25,10.04646135536412,7.6082809598267795
Badajoz,2,2025-02-26,10.790988349718294,7.477737509421196
Badajoz,3,2025-02-27,10.699560991591193,7.319480979352655
Badajoz,4,2025-02-28,10.552156824176896,7.209874558746018
Badajoz,5,2025-03-01,12.150341525744057,7.269075559747294
Badajoz,6,2025-03-02,12.955618616314323,7.374614430536093
Badajoz,7,2025-03-03,13.412881272634959,7.1596002078131304
Baleares,1,2025-02-25,13.184703953121243,11.040412457035108
Baleares,2,2025-02-26,14.652573779908908,10.849978276569196
Baleares,3,2025-02-27,15.419160315403412,9.68247229742288
Baleares,4,2025-02-28,15.45813787894988,9.498628460958127
Baleares,5,2025-03-01,15.276446771965075,9.359579826811373
Baleares,6,2025-03-02,15.278762699779882,9.257411184124065
Baleares,7,2025-03-03,15.221767910565308,9.06051827952016
Barcelona,1,2025-02-25,12.589512564457845,9.881750670704989
Barcelona,2,2025-02-26,12.099018930391674,9.873896347650817
Barcelona,3,2025-02-27,11.92586266170457,9.01888422389964
Barcelona,4,2025-02-28,12.62057523196607,9.181867672893617
Barcelona,5,2025-03-01,12.759798215765429,8.940926393572399
Barcelona,6,2025-03-02,13.406988969814538,8.67166129257923
Barcelona,7,2025-03-03,14.033466111155533,8.893945575884853
Burgos,1,2025-02-25,5.613235596794893,3.505296672333371
Burgos,2,2025-02-26,7.496925303600867,3.5164171007897083
Burgos,3,2025-02-27,7.618920102958281,3.6511602395604923
Burgos,4,2025-02-28,7.874481609065061,3.5436528324737475
Burgos,5,2025-03-01,10.224809646524282,3.644046943811286
Burgos,6,2025-03-02,11.880288161124446,3.933841170600563
Burgos,7,2025-03-03,12.96437460499643,3.7735421356209247
Cantabria,1,2025-02-26,9.625797072179507,6.838931720070819
Cantabria,2,2025-02-27,9.469566519444598,6.420588240429878
Cantabria,3,2025-02-28,9.310361473787635,6.684535780755389
Cantabria,4,2025-03-01,10.537532283384989,6.38543582245559
Cantabria,5,2025-03-02,12.431572145292744,6.452500096235455
Cantabria,6,2025-03-03,12.14444526234206,6.72179679218758
Cantabria,7,2025-03-04,13.792958270925947,6.901705401386839
Castellón,1,2025-02-25,12.770553116714293,10.509310889758684
Castellón,2,2025-02-26,13.655333261051455,9.26793223430014
Castellón,3,2025-02-27,13.016846673351221,8.689091330950037
Castellón,4,2025-02-28,13.431176346992466,8.442298039629241
Castellón,5,2025-03-01,13.617973697220215,8.106466968305863
Castellón,6,2025-03-02,14.038905301410914,7.690660498268286
Castellón,7,2025-03-03,14.252281928994819,7.636117506997915
Ceuta,1,2025-02-26,14.011302511882011,12.6918946304351
Ceuta,2,2025-02-27,14.63391890365586,12.100695804385657
Ceuta,3,2025-02-28,15.570668315490822,12.276454338840715
Ceuta,4,2025-03-01,15.565729010678638,11.759721488777691
Ceuta,5,2025-03-02,15.424350454104404,12.22513350120136
Ceuta,6,2025-03-03,15.69806163785392,12.25712027495607
Ceuta,7,2025-03-04,15.891285709201423,11.939465755511717
Ciudad Real,1,2025-02-25,7.604717930287719,6.785226024984102
Ciudad Real,2,2025-02-26,8.776212940959176,5.940425359081327
Ciudad Real,3,2025-02-27,8.34336028410757,6.577784329426331
Ciudad Real,4,2025-02-28,7.840545471869161,6.031602180266281
Ciudad Real,5,2025-03-01,10.93245381096302,6.237135439844702
Ciudad Real,6,2025-03-02,12.478111221882957,6.4209559080951735
